model name is decoder 
queue 8.79  s, infer 42.24 s, input 1.17  s, output 1.38  s 
Batch_size 1 , 9794  times, infer 2783.26   ms, avg 0.28 ms, 0.28 ms input 100.80    ms, avg 0.01 ms, output 93.56     ms, avg 0.01 ms 
Batch_size 59, 386   times, infer 279.34    ms, avg 0.72 ms, 0.01 ms input 11.26     ms, avg 0.03 ms, output 43.69     ms, avg 0.11 ms 
Batch_size 60, 163   times, infer 87.07     ms, avg 0.53 ms, 0.01 ms input 9.03      ms, avg 0.06 ms, output 18.40     ms, avg 0.11 ms 
Batch_size 61, 70    times, infer 37.06     ms, avg 0.53 ms, 0.01 ms input 2.40      ms, avg 0.03 ms, output 8.05      ms, avg 0.11 ms 
Batch_size 62, 119   times, infer 47.64     ms, avg 0.40 ms, 0.01 ms input 1.85      ms, avg 0.02 ms, output 13.82     ms, avg 0.12 ms 
Batch_size 63, 244   times, infer 191.47    ms, avg 0.78 ms, 0.01 ms input 5.63      ms, avg 0.02 ms, output 29.22     ms, avg 0.12 ms 
Batch_size 64, 154   times, infer 73.07     ms, avg 0.47 ms, 0.01 ms input 12.03     ms, avg 0.08 ms, output 18.72     ms, avg 0.12 ms 
Batch_size 65, 168   times, infer 119.17    ms, avg 0.71 ms, 0.01 ms input 4.46      ms, avg 0.03 ms, output 20.41     ms, avg 0.12 ms 
Batch_size 66, 132   times, infer 114.99    ms, avg 0.87 ms, 0.01 ms input 4.12      ms, avg 0.03 ms, output 16.06     ms, avg 0.12 ms 
Batch_size 67, 190   times, infer 146.18    ms, avg 0.77 ms, 0.01 ms input 2.84      ms, avg 0.01 ms, output 24.21     ms, avg 0.13 ms 
Batch_size 68, 251   times, infer 138.05    ms, avg 0.55 ms, 0.01 ms input 44.36     ms, avg 0.18 ms, output 32.03     ms, avg 0.13 ms 
Batch_size 69, 72    times, infer 47.16     ms, avg 0.66 ms, 0.01 ms input 4.21      ms, avg 0.06 ms, output 9.29      ms, avg 0.13 ms 
Batch_size 70, 143   times, infer 81.00     ms, avg 0.57 ms, 0.01 ms input 1.77      ms, avg 0.01 ms, output 18.46     ms, avg 0.13 ms 
Batch_size 71, 115   times, infer 107.48    ms, avg 0.93 ms, 0.01 ms input 2.21      ms, avg 0.02 ms, output 15.13     ms, avg 0.13 ms 
Batch_size 72, 88    times, infer 42.55     ms, avg 0.48 ms, 0.01 ms input 4.91      ms, avg 0.06 ms, output 11.82     ms, avg 0.13 ms 
Batch_size 73, 116   times, infer 60.45     ms, avg 0.52 ms, 0.01 ms input 1.35      ms, avg 0.01 ms, output 16.29     ms, avg 0.14 ms 
Batch_size 74, 67    times, infer 36.93     ms, avg 0.55 ms, 0.01 ms input 3.80      ms, avg 0.06 ms, output 9.43      ms, avg 0.14 ms 
Batch_size 75, 138   times, infer 147.56    ms, avg 1.07 ms, 0.01 ms input 3.70      ms, avg 0.03 ms, output 19.65     ms, avg 0.14 ms 
Batch_size 76, 269   times, infer 162.24    ms, avg 0.60 ms, 0.01 ms input 3.63      ms, avg 0.01 ms, output 37.65     ms, avg 0.14 ms 
Batch_size 77, 126   times, infer 110.09    ms, avg 0.87 ms, 0.01 ms input 4.32      ms, avg 0.03 ms, output 18.16     ms, avg 0.14 ms 
Batch_size 78, 188   times, infer 108.02    ms, avg 0.57 ms, 0.01 ms input 17.94     ms, avg 0.10 ms, output 28.89     ms, avg 0.15 ms 
Batch_size 79, 61    times, infer 34.23     ms, avg 0.56 ms, 0.01 ms input 1.67      ms, avg 0.03 ms, output 9.06      ms, avg 0.15 ms 
Batch_size 80, 132   times, infer 70.15     ms, avg 0.53 ms, 0.01 ms input 1.98      ms, avg 0.02 ms, output 19.42     ms, avg 0.15 ms 
Batch_size 81, 302   times, infer 191.75    ms, avg 0.63 ms, 0.01 ms input 4.02      ms, avg 0.01 ms, output 45.43     ms, avg 0.15 ms 
Batch_size 82, 371   times, infer 251.47    ms, avg 0.68 ms, 0.01 ms input 10.84     ms, avg 0.03 ms, output 58.12     ms, avg 0.16 ms 
Batch_size 83, 45    times, infer 21.51     ms, avg 0.48 ms, 0.01 ms input 1.66      ms, avg 0.04 ms, output 6.75      ms, avg 0.15 ms 
Batch_size 84, 104   times, infer 77.09     ms, avg 0.74 ms, 0.01 ms input 3.19      ms, avg 0.03 ms, output 15.81     ms, avg 0.15 ms 
Batch_size 85, 43    times, infer 22.76     ms, avg 0.53 ms, 0.01 ms input 2.63      ms, avg 0.06 ms, output 6.69      ms, avg 0.16 ms 
Batch_size 86, 37    times, infer 19.77     ms, avg 0.53 ms, 0.01 ms input 0.98      ms, avg 0.03 ms, output 5.84      ms, avg 0.16 ms 
Batch_size 87, 93    times, infer 58.00     ms, avg 0.62 ms, 0.01 ms input 1.35      ms, avg 0.01 ms, output 14.72     ms, avg 0.16 ms 
Batch_size 88, 39    times, infer 18.90     ms, avg 0.48 ms, 0.01 ms input 1.32      ms, avg 0.03 ms, output 6.33      ms, avg 0.16 ms 
Batch_size 89, 47    times, infer 84.68     ms, avg 1.80 ms, 0.02 ms input 1.02      ms, avg 0.02 ms, output 7.17      ms, avg 0.15 ms 
Batch_size 90, 28    times, infer 23.14     ms, avg 0.83 ms, 0.01 ms input 0.54      ms, avg 0.02 ms, output 4.33      ms, avg 0.15 ms 
Batch_size 91, 38    times, infer 38.25     ms, avg 1.01 ms, 0.01 ms input 1.19      ms, avg 0.03 ms, output 5.86      ms, avg 0.15 ms 
Batch_size 92, 34    times, infer 16.14     ms, avg 0.47 ms, 0.01 ms input 0.72      ms, avg 0.02 ms, output 5.19      ms, avg 0.15 ms 
Batch_size 93, 100   times, infer 115.89    ms, avg 1.16 ms, 0.01 ms input 1.40      ms, avg 0.01 ms, output 15.62     ms, avg 0.16 ms 
Batch_size 94, 108   times, infer 71.34     ms, avg 0.66 ms, 0.01 ms input 5.45      ms, avg 0.05 ms, output 17.05     ms, avg 0.16 ms 
Batch_size 95, 166   times, infer 92.92     ms, avg 0.56 ms, 0.01 ms input 27.41     ms, avg 0.17 ms, output 24.93     ms, avg 0.15 ms 
Batch_size 96, 106   times, infer 54.70     ms, avg 0.52 ms, 0.01 ms input 3.30      ms, avg 0.03 ms, output 16.79     ms, avg 0.16 ms 
Batch_size 97, 27    times, infer 12.70     ms, avg 0.47 ms, 0.00 ms input 0.30      ms, avg 0.01 ms, output 4.34      ms, avg 0.16 ms 
Batch_size 98, 23    times, infer 11.12     ms, avg 0.48 ms, 0.00 ms input 0.35      ms, avg 0.02 ms, output 3.71      ms, avg 0.16 ms 
Batch_size 99, 100   times, infer 61.73     ms, avg 0.62 ms, 0.01 ms input 1.47      ms, avg 0.01 ms, output 17.08     ms, avg 0.17 ms 
Batch_size 100, 147   times, infer 89.34     ms, avg 0.61 ms, 0.01 ms input 2.43      ms, avg 0.02 ms, output 24.92     ms, avg 0.17 ms 
Batch_size 101, 24    times, infer 11.76     ms, avg 0.49 ms, 0.00 ms input 0.23      ms, avg 0.01 ms, output 3.97      ms, avg 0.17 ms 
Batch_size 102, 36    times, infer 24.13     ms, avg 0.67 ms, 0.01 ms input 1.33      ms, avg 0.04 ms, output 6.14      ms, avg 0.17 ms 
Batch_size 103, 109   times, infer 89.01     ms, avg 0.82 ms, 0.01 ms input 1.50      ms, avg 0.01 ms, output 18.13     ms, avg 0.17 ms 
Batch_size 104, 36    times, infer 17.90     ms, avg 0.50 ms, 0.00 ms input 0.76      ms, avg 0.02 ms, output 6.30      ms, avg 0.18 ms 
Batch_size 105, 67    times, infer 33.05     ms, avg 0.49 ms, 0.00 ms input 0.80      ms, avg 0.01 ms, output 12.20     ms, avg 0.18 ms 
Batch_size 106, 19    times, infer 10.00     ms, avg 0.53 ms, 0.00 ms input 0.36      ms, avg 0.02 ms, output 3.39      ms, avg 0.18 ms 
Batch_size 107, 38    times, infer 18.33     ms, avg 0.48 ms, 0.00 ms input 0.73      ms, avg 0.02 ms, output 7.33      ms, avg 0.19 ms 
Batch_size 108, 133   times, infer 107.70    ms, avg 0.81 ms, 0.01 ms input 1.49      ms, avg 0.01 ms, output 24.68     ms, avg 0.19 ms 
Batch_size 109, 26    times, infer 12.45     ms, avg 0.48 ms, 0.00 ms input 0.73      ms, avg 0.03 ms, output 4.80      ms, avg 0.18 ms 
Batch_size 110, 24    times, infer 12.60     ms, avg 0.52 ms, 0.00 ms input 1.08      ms, avg 0.05 ms, output 4.45      ms, avg 0.19 ms 
Batch_size 111, 24    times, infer 11.21     ms, avg 0.47 ms, 0.00 ms input 0.39      ms, avg 0.02 ms, output 4.42      ms, avg 0.18 ms 
Batch_size 112, 32    times, infer 17.90     ms, avg 0.56 ms, 0.00 ms input 0.59      ms, avg 0.02 ms, output 6.20      ms, avg 0.19 ms 
Batch_size 113, 88    times, infer 52.69     ms, avg 0.60 ms, 0.01 ms input 1.16      ms, avg 0.01 ms, output 17.73     ms, avg 0.20 ms 
Batch_size 114, 31    times, infer 14.58     ms, avg 0.47 ms, 0.00 ms input 0.71      ms, avg 0.02 ms, output 5.80      ms, avg 0.19 ms 
Batch_size 115, 143   times, infer 73.47     ms, avg 0.51 ms, 0.00 ms input 1.70      ms, avg 0.01 ms, output 27.06     ms, avg 0.19 ms 
Batch_size 116, 84    times, infer 49.72     ms, avg 0.59 ms, 0.01 ms input 1.11      ms, avg 0.01 ms, output 15.89     ms, avg 0.19 ms 
Batch_size 117, 66    times, infer 32.03     ms, avg 0.49 ms, 0.00 ms input 0.80      ms, avg 0.01 ms, output 13.28     ms, avg 0.20 ms 
Batch_size 118, 24    times, infer 38.10     ms, avg 1.59 ms, 0.01 ms input 0.58      ms, avg 0.02 ms, output 4.70      ms, avg 0.20 ms 
Batch_size 119, 66    times, infer 38.64     ms, avg 0.59 ms, 0.00 ms input 0.78      ms, avg 0.01 ms, output 13.43     ms, avg 0.20 ms 
Batch_size 120, 34    times, infer 37.87     ms, avg 1.11 ms, 0.01 ms input 2.27      ms, avg 0.07 ms, output 6.71      ms, avg 0.20 ms 
Batch_size 121, 96    times, infer 75.50     ms, avg 0.79 ms, 0.01 ms input 1.15      ms, avg 0.01 ms, output 20.20     ms, avg 0.21 ms 
Batch_size 122, 128   times, infer 70.89     ms, avg 0.55 ms, 0.00 ms input 1.69      ms, avg 0.01 ms, output 25.01     ms, avg 0.20 ms 
Batch_size 123, 20    times, infer 13.41     ms, avg 0.67 ms, 0.01 ms input 5.53      ms, avg 0.28 ms, output 4.06      ms, avg 0.20 ms 
Batch_size 124, 12    times, infer 6.89      ms, avg 0.57 ms, 0.00 ms input 0.12      ms, avg 0.01 ms, output 2.46      ms, avg 0.20 ms 
Batch_size 125, 79    times, infer 51.20     ms, avg 0.65 ms, 0.01 ms input 1.00      ms, avg 0.01 ms, output 16.01     ms, avg 0.20 ms 
Batch_size 126, 21    times, infer 9.87      ms, avg 0.47 ms, 0.00 ms input 0.99      ms, avg 0.05 ms, output 4.30      ms, avg 0.20 ms 
Batch_size 127, 13    times, infer 6.43      ms, avg 0.49 ms, 0.00 ms input 0.24      ms, avg 0.02 ms, output 2.75      ms, avg 0.21 ms 
Batch_size 128, 19    times, infer 9.78      ms, avg 0.51 ms, 0.00 ms input 0.35      ms, avg 0.02 ms, output 4.11      ms, avg 0.22 ms 
Batch_size 129, 14    times, infer 6.84      ms, avg 0.49 ms, 0.00 ms input 0.13      ms, avg 0.01 ms, output 3.23      ms, avg 0.23 ms 
Batch_size 130, 67    times, infer 41.16     ms, avg 0.61 ms, 0.00 ms input 0.94      ms, avg 0.01 ms, output 15.26     ms, avg 0.23 ms 
Batch_size 131, 19    times, infer 9.99      ms, avg 0.53 ms, 0.00 ms input 0.35      ms, avg 0.02 ms, output 4.51      ms, avg 0.24 ms 
Batch_size 132, 21    times, infer 10.69     ms, avg 0.51 ms, 0.00 ms input 0.39      ms, avg 0.02 ms, output 4.93      ms, avg 0.23 ms 
Batch_size 133, 26    times, infer 12.69     ms, avg 0.49 ms, 0.00 ms input 0.76      ms, avg 0.03 ms, output 5.68      ms, avg 0.22 ms 
Batch_size 134, 69    times, infer 34.56     ms, avg 0.50 ms, 0.00 ms input 0.84      ms, avg 0.01 ms, output 15.39     ms, avg 0.22 ms 
Batch_size 135, 63    times, infer 38.38     ms, avg 0.61 ms, 0.00 ms input 1.26      ms, avg 0.02 ms, output 14.60     ms, avg 0.23 ms 
Batch_size 136, 19    times, infer 8.69      ms, avg 0.46 ms, 0.00 ms input 0.35      ms, avg 0.02 ms, output 4.24      ms, avg 0.22 ms 
Batch_size 137, 73    times, infer 75.24     ms, avg 1.03 ms, 0.01 ms input 0.86      ms, avg 0.01 ms, output 16.72     ms, avg 0.23 ms 
Batch_size 138, 19    times, infer 9.91      ms, avg 0.52 ms, 0.00 ms input 1.14      ms, avg 0.06 ms, output 4.51      ms, avg 0.24 ms 
Batch_size 139, 16    times, infer 8.25      ms, avg 0.52 ms, 0.00 ms input 0.40      ms, avg 0.02 ms, output 3.70      ms, avg 0.23 ms 
Batch_size 140, 22    times, infer 10.98     ms, avg 0.50 ms, 0.00 ms input 0.71      ms, avg 0.03 ms, output 4.98      ms, avg 0.23 ms 
Batch_size 141, 63    times, infer 30.48     ms, avg 0.48 ms, 0.00 ms input 0.67      ms, avg 0.01 ms, output 14.87     ms, avg 0.24 ms 
Batch_size 142, 71    times, infer 44.35     ms, avg 0.62 ms, 0.00 ms input 1.14      ms, avg 0.02 ms, output 16.67     ms, avg 0.23 ms 
Batch_size 143, 22    times, infer 12.13     ms, avg 0.55 ms, 0.00 ms input 0.68      ms, avg 0.03 ms, output 5.16      ms, avg 0.23 ms 
Batch_size 144, 11    times, infer 5.53      ms, avg 0.50 ms, 0.00 ms input 0.30      ms, avg 0.03 ms, output 2.66      ms, avg 0.24 ms 
Batch_size 145, 65    times, infer 32.47     ms, avg 0.50 ms, 0.00 ms input 0.79      ms, avg 0.01 ms, output 15.69     ms, avg 0.24 ms 
Batch_size 146, 23    times, infer 12.10     ms, avg 0.53 ms, 0.00 ms input 0.65      ms, avg 0.03 ms, output 5.64      ms, avg 0.25 ms 
Batch_size 147, 123   times, infer 70.43     ms, avg 0.57 ms, 0.00 ms input 1.17      ms, avg 0.01 ms, output 30.28     ms, avg 0.25 ms 
Batch_size 148, 20    times, infer 10.54     ms, avg 0.53 ms, 0.00 ms input 1.19      ms, avg 0.06 ms, output 5.09      ms, avg 0.25 ms 
Batch_size 149, 113   times, infer 110.21    ms, avg 0.98 ms, 0.01 ms input 1.22      ms, avg 0.01 ms, output 26.52     ms, avg 0.23 ms 
Batch_size 150, 19    times, infer 12.70     ms, avg 0.67 ms, 0.00 ms input 1.43      ms, avg 0.08 ms, output 4.87      ms, avg 0.26 ms 
Batch_size 151, 50    times, infer 28.42     ms, avg 0.57 ms, 0.00 ms input 0.60      ms, avg 0.01 ms, output 12.12     ms, avg 0.24 ms 
Batch_size 152, 17    times, infer 8.92      ms, avg 0.52 ms, 0.00 ms input 1.09      ms, avg 0.06 ms, output 4.54      ms, avg 0.27 ms 
Batch_size 153, 10    times, infer 4.85      ms, avg 0.48 ms, 0.00 ms input 0.23      ms, avg 0.02 ms, output 2.93      ms, avg 0.29 ms 
Batch_size 154, 3     times, infer 1.49      ms, avg 0.50 ms, 0.00 ms input 0.08      ms, avg 0.03 ms, output 0.72      ms, avg 0.24 ms 
Batch_size 155, 8     times, infer 3.82      ms, avg 0.48 ms, 0.00 ms input 0.17      ms, avg 0.02 ms, output 1.98      ms, avg 0.25 ms 
Batch_size 156, 4     times, infer 1.94      ms, avg 0.48 ms, 0.00 ms input 0.74      ms, avg 0.18 ms, output 0.99      ms, avg 0.25 ms 
Batch_size 157, 5     times, infer 2.48      ms, avg 0.50 ms, 0.00 ms input 0.09      ms, avg 0.02 ms, output 1.26      ms, avg 0.25 ms 
Batch_size 158, 6     times, infer 3.34      ms, avg 0.56 ms, 0.00 ms input 0.27      ms, avg 0.05 ms, output 1.58      ms, avg 0.26 ms 
Batch_size 159, 5     times, infer 2.44      ms, avg 0.49 ms, 0.00 ms input 0.11      ms, avg 0.02 ms, output 1.29      ms, avg 0.26 ms 
Batch_size 160, 52    times, infer 48.69     ms, avg 0.94 ms, 0.01 ms input 0.59      ms, avg 0.01 ms, output 13.73     ms, avg 0.26 ms 
Batch_size 161, 13    times, infer 6.83      ms, avg 0.53 ms, 0.00 ms input 0.40      ms, avg 0.03 ms, output 3.32      ms, avg 0.26 ms 
Batch_size 162, 7     times, infer 3.50      ms, avg 0.50 ms, 0.00 ms input 0.19      ms, avg 0.03 ms, output 1.83      ms, avg 0.26 ms 
Batch_size 163, 5     times, infer 2.76      ms, avg 0.55 ms, 0.00 ms input 0.19      ms, avg 0.04 ms, output 1.32      ms, avg 0.26 ms 
Batch_size 164, 13    times, infer 6.70      ms, avg 0.52 ms, 0.00 ms input 0.19      ms, avg 0.01 ms, output 3.27      ms, avg 0.25 ms 
Batch_size 165, 3     times, infer 1.56      ms, avg 0.52 ms, 0.00 ms input 0.03      ms, avg 0.01 ms, output 0.75      ms, avg 0.25 ms 
Batch_size 166, 4     times, infer 2.25      ms, avg 0.56 ms, 0.00 ms input 0.15      ms, avg 0.04 ms, output 1.12      ms, avg 0.28 ms 
Batch_size 167, 11    times, infer 5.77      ms, avg 0.52 ms, 0.00 ms input 0.16      ms, avg 0.01 ms, output 2.91      ms, avg 0.26 ms 
Batch_size 168, 7     times, infer 3.99      ms, avg 0.57 ms, 0.00 ms input 0.14      ms, avg 0.02 ms, output 1.95      ms, avg 0.28 ms 
Batch_size 169, 101   times, infer 128.77    ms, avg 1.27 ms, 0.01 ms input 1.19      ms, avg 0.01 ms, output 29.40     ms, avg 0.29 ms 
Batch_size 170, 5     times, infer 2.67      ms, avg 0.53 ms, 0.00 ms input 0.18      ms, avg 0.04 ms, output 1.42      ms, avg 0.28 ms 
Batch_size 171, 2     times, infer 1.09      ms, avg 0.54 ms, 0.00 ms input 0.09      ms, avg 0.04 ms, output 0.57      ms, avg 0.28 ms 
Batch_size 172, 5     times, infer 3.07      ms, avg 0.61 ms, 0.00 ms input 0.10      ms, avg 0.02 ms, output 1.58      ms, avg 0.32 ms 
Batch_size 173, 68    times, infer 34.36     ms, avg 0.51 ms, 0.00 ms input 0.62      ms, avg 0.01 ms, output 19.22     ms, avg 0.28 ms 
Batch_size 174, 4     times, infer 2.20      ms, avg 0.55 ms, 0.00 ms input 0.22      ms, avg 0.06 ms, output 1.41      ms, avg 0.35 ms 
Batch_size 175, 3     times, infer 1.56      ms, avg 0.52 ms, 0.00 ms input 0.16      ms, avg 0.05 ms, output 0.85      ms, avg 0.28 ms 
Batch_size 176, 4     times, infer 2.31      ms, avg 0.58 ms, 0.00 ms input 0.05      ms, avg 0.01 ms, output 1.31      ms, avg 0.33 ms 
Batch_size 177, 6     times, infer 3.30      ms, avg 0.55 ms, 0.00 ms input 0.06      ms, avg 0.01 ms, output 1.67      ms, avg 0.28 ms 
Batch_size 178, 1     times, infer 0.53      ms, avg 0.53 ms, 0.00 ms input 0.01      ms, avg 0.01 ms, output 0.28      ms, avg 0.28 ms 
Batch_size 179, 12    times, infer 6.71      ms, avg 0.56 ms, 0.00 ms input 0.68      ms, avg 0.06 ms, output 3.46      ms, avg 0.29 ms 
Batch_size 180, 3     times, infer 1.64      ms, avg 0.55 ms, 0.00 ms input 0.08      ms, avg 0.03 ms, output 0.83      ms, avg 0.28 ms 
Batch_size 181, 48    times, infer 26.75     ms, avg 0.56 ms, 0.00 ms input 0.47      ms, avg 0.01 ms, output 15.05     ms, avg 0.31 ms 
Batch_size 182, 74    times, infer 54.07     ms, avg 0.73 ms, 0.00 ms input 1.48      ms, avg 0.02 ms, output 21.61     ms, avg 0.29 ms 
Batch_size 183, 3     times, infer 1.94      ms, avg 0.65 ms, 0.00 ms input 0.25      ms, avg 0.08 ms, output 0.95      ms, avg 0.32 ms 
Batch_size 187, 2     times, infer 1.09      ms, avg 0.55 ms, 0.00 ms input 0.13      ms, avg 0.06 ms, output 0.61      ms, avg 0.31 ms 
Batch_size 188, 2     times, infer 1.27      ms, avg 0.64 ms, 0.00 ms input 0.14      ms, avg 0.07 ms, output 0.61      ms, avg 0.31 ms 
Batch_size 189, 1     times, infer 0.63      ms, avg 0.63 ms, 0.00 ms input 0.07      ms, avg 0.07 ms, output 0.34      ms, avg 0.34 ms 
Batch_size 190, 1     times, infer 0.53      ms, avg 0.53 ms, 0.00 ms input 0.06      ms, avg 0.06 ms, output 0.32      ms, avg 0.32 ms 
Batch_size 196, 1     times, infer 0.63      ms, avg 0.63 ms, 0.00 ms input 0.07      ms, avg 0.07 ms, output 0.34      ms, avg 0.34 ms 
Batch_size 198, 3     times, infer 1.80      ms, avg 0.60 ms, 0.00 ms input 0.18      ms, avg 0.06 ms, output 1.06      ms, avg 0.35 ms 
Batch_size 199, 4     times, infer 3.08      ms, avg 0.77 ms, 0.00 ms input 0.27      ms, avg 0.07 ms, output 2.51      ms, avg 0.63 ms 
model name is scorer 
queue 5897.25 s, infer 12696.84 s, input 40.92 s, output 62.97 s 
Batch_size 1 , 561   times, infer 114767.63 ms, avg 204.58 ms, 204.58 ms input 27.39     ms, avg 0.05 ms, output 75.32     ms, avg 0.13 ms 
Batch_size 2 , 148   times, infer 32242.39  ms, avg 217.85 ms, 108.93 ms input 56.65     ms, avg 0.38 ms, output 28.68     ms, avg 0.19 ms 
Batch_size 3 , 28    times, infer 7336.98   ms, avg 262.04 ms, 87.35 ms input 11.40     ms, avg 0.41 ms, output 7.08      ms, avg 0.25 ms 
Batch_size 4 , 38    times, infer 8272.53   ms, avg 217.70 ms, 54.42 ms input 12.42     ms, avg 0.33 ms, output 10.89     ms, avg 0.29 ms 
Batch_size 5 , 24    times, infer 5030.59   ms, avg 209.61 ms, 41.92 ms input 8.90      ms, avg 0.37 ms, output 8.48      ms, avg 0.35 ms 
Batch_size 6 , 16    times, infer 5215.87   ms, avg 325.99 ms, 54.33 ms input 46.75     ms, avg 2.92 ms, output 6.46      ms, avg 0.40 ms 
Batch_size 7 , 19    times, infer 5536.65   ms, avg 291.40 ms, 41.63 ms input 10.12     ms, avg 0.53 ms, output 7.85      ms, avg 0.41 ms 
Batch_size 8 , 20    times, infer 7820.37   ms, avg 391.02 ms, 48.88 ms input 11.48     ms, avg 0.57 ms, output 9.86      ms, avg 0.49 ms 
Batch_size 9 , 14    times, infer 4651.13   ms, avg 332.22 ms, 36.91 ms input 9.73      ms, avg 0.69 ms, output 6.80      ms, avg 0.49 ms 
Batch_size 10, 12    times, infer 4303.45   ms, avg 358.62 ms, 35.86 ms input 4.25      ms, avg 0.35 ms, output 6.55      ms, avg 0.55 ms 
Batch_size 11, 17    times, infer 5761.94   ms, avg 338.94 ms, 30.81 ms input 8.38      ms, avg 0.49 ms, output 11.85     ms, avg 0.70 ms 
Batch_size 12, 22    times, infer 7122.90   ms, avg 323.77 ms, 26.98 ms input 13.24     ms, avg 0.60 ms, output 15.18     ms, avg 0.69 ms 
Batch_size 13, 13    times, infer 4980.61   ms, avg 383.12 ms, 29.47 ms input 8.83      ms, avg 0.68 ms, output 9.33      ms, avg 0.72 ms 
Batch_size 14, 28    times, infer 9976.04   ms, avg 356.29 ms, 25.45 ms input 14.27     ms, avg 0.51 ms, output 20.73     ms, avg 0.74 ms 
Batch_size 15, 15    times, infer 5299.87   ms, avg 353.32 ms, 23.55 ms input 15.95     ms, avg 1.06 ms, output 12.05     ms, avg 0.80 ms 
Batch_size 16, 20    times, infer 6721.97   ms, avg 336.10 ms, 21.01 ms input 15.00     ms, avg 0.75 ms, output 18.67     ms, avg 0.93 ms 
Batch_size 17, 16    times, infer 6159.83   ms, avg 384.99 ms, 22.65 ms input 34.83     ms, avg 2.18 ms, output 14.18     ms, avg 0.89 ms 
Batch_size 18, 9     times, infer 3086.99   ms, avg 343.00 ms, 19.06 ms input 7.11      ms, avg 0.79 ms, output 9.46      ms, avg 1.05 ms 
Batch_size 19, 11    times, infer 4172.51   ms, avg 379.32 ms, 19.96 ms input 10.62     ms, avg 0.97 ms, output 11.69     ms, avg 1.06 ms 
Batch_size 20, 13    times, infer 5312.89   ms, avg 408.68 ms, 20.43 ms input 11.46     ms, avg 0.88 ms, output 13.76     ms, avg 1.06 ms 
Batch_size 21, 12    times, infer 6787.66   ms, avg 565.64 ms, 26.94 ms input 12.92     ms, avg 1.08 ms, output 13.84     ms, avg 1.15 ms 
Batch_size 22, 10    times, infer 3924.12   ms, avg 392.41 ms, 17.84 ms input 7.23      ms, avg 0.72 ms, output 12.03     ms, avg 1.20 ms 
Batch_size 23, 20    times, infer 8606.57   ms, avg 430.33 ms, 18.71 ms input 14.28     ms, avg 0.71 ms, output 24.64     ms, avg 1.23 ms 
Batch_size 24, 8     times, infer 2907.78   ms, avg 363.47 ms, 15.14 ms input 8.65      ms, avg 1.08 ms, output 8.34      ms, avg 1.04 ms 
Batch_size 25, 9     times, infer 5997.06   ms, avg 666.34 ms, 26.65 ms input 104.49    ms, avg 11.61 ms, output 11.00     ms, avg 1.22 ms 
Batch_size 26, 17    times, infer 7122.37   ms, avg 418.96 ms, 16.11 ms input 14.26     ms, avg 0.84 ms, output 22.40     ms, avg 1.32 ms 
Batch_size 27, 9     times, infer 4847.62   ms, avg 538.62 ms, 19.95 ms input 7.64      ms, avg 0.85 ms, output 13.05     ms, avg 1.45 ms 
Batch_size 28, 5     times, infer 1925.11   ms, avg 385.02 ms, 13.75 ms input 7.25      ms, avg 1.45 ms, output 7.55      ms, avg 1.51 ms 
Batch_size 29, 9     times, infer 4981.43   ms, avg 553.49 ms, 19.09 ms input 16.28     ms, avg 1.81 ms, output 13.14     ms, avg 1.46 ms 
Batch_size 30, 16    times, infer 8056.47   ms, avg 503.53 ms, 16.78 ms input 12.59     ms, avg 0.79 ms, output 25.21     ms, avg 1.58 ms 
Batch_size 31, 7     times, infer 2792.47   ms, avg 398.92 ms, 12.87 ms input 5.50      ms, avg 0.79 ms, output 10.61     ms, avg 1.52 ms 
Batch_size 32, 6     times, infer 3029.80   ms, avg 504.97 ms, 15.78 ms input 6.38      ms, avg 1.06 ms, output 12.63     ms, avg 2.10 ms 
Batch_size 33, 6     times, infer 2879.91   ms, avg 479.98 ms, 14.54 ms input 5.87      ms, avg 0.98 ms, output 12.69     ms, avg 2.12 ms 
Batch_size 34, 3     times, infer 1143.06   ms, avg 381.02 ms, 11.21 ms input 3.02      ms, avg 1.01 ms, output 5.31      ms, avg 1.77 ms 
Batch_size 35, 10    times, infer 4257.21   ms, avg 425.72 ms, 12.16 ms input 8.36      ms, avg 0.84 ms, output 18.04     ms, avg 1.80 ms 
Batch_size 36, 7     times, infer 4345.07   ms, avg 620.72 ms, 17.24 ms input 8.62      ms, avg 1.23 ms, output 12.82     ms, avg 1.83 ms 
Batch_size 37, 7     times, infer 5915.54   ms, avg 845.08 ms, 22.84 ms input 15.45     ms, avg 2.21 ms, output 12.95     ms, avg 1.85 ms 
Batch_size 38, 17    times, infer 10570.35  ms, avg 621.79 ms, 16.36 ms input 31.05     ms, avg 1.83 ms, output 34.33     ms, avg 2.02 ms 
Batch_size 39, 9     times, infer 6697.79   ms, avg 744.20 ms, 19.08 ms input 22.04     ms, avg 2.45 ms, output 20.85     ms, avg 2.32 ms 
Batch_size 40, 5     times, infer 3993.66   ms, avg 798.73 ms, 19.97 ms input 7.21      ms, avg 1.44 ms, output 13.64     ms, avg 2.73 ms 
Batch_size 41, 8     times, infer 5449.57   ms, avg 681.20 ms, 16.61 ms input 13.36     ms, avg 1.67 ms, output 17.60     ms, avg 2.20 ms 
Batch_size 42, 2     times, infer 993.58    ms, avg 496.79 ms, 11.83 ms input 6.10      ms, avg 3.05 ms, output 6.02      ms, avg 3.01 ms 
